LEVEL,P_Fare,VLABEL,_DATAROLE_,_VARIABLE_,_ase_,_avgyhat_,_mae_,_msle_,_nobs_,_rase_,_rmae_,_rmsle_
female,28.0582666941998,,TEST,Sex,736.546850581515,28.0582666941998,13.8311396100161,0.77108004637561,46.0,27.1393966510222,3.71902401310023,0.87811163662464
male,33.5586673191576,,TEST,Sex,852.690633676181,33.5586673191576,15.9331837561169,0.3717187787095,79.0,29.2008670021316,3.99163923170881,0.6096874434573
1.0,86.1921349645827,,TEST,Pclass,3205.91379283854,86.1921349645827,38.9386497167321,0.3179673942952,26.0,56.6207894049398,6.24008411135075,0.56388597632429
2.0,23.6499172971968,,TEST,Pclass,187.628383708533,23.6499172971968,9.10290594680136,0.46860801302355,29.0,13.6977510456473,3.01710224334565,0.6845494964015
3.0,14.4995982206969,,TEST,Pclass,177.839049225974,14.4995982206969,8.83663962431011,0.63207337941527,70.0,13.3356308146999,2.97264858742336,0.79503042672295
